word,phonetic,pos,definition,source
plant,plænt,,n.植物,外研社初中
look,lʊk,,v.看，瞧,外研社初中
look at,lʊk æt,,看,外研社初中
tall,tɔl,,a.高的,外研社初中
sure,ʃʊər; ʃʊr,,ad.的确，当然,外研社初中
bamboo,",bæm'bu",,n.竹子,外研社初中
cute,kjʊt,,a.可爱的,外研社初中
shall,ʃəl,,v aux.⋯⋯好吗？要不要⋯⋯？,外研社初中
them,ðɛm; ðəm,,pron.（宾格）他们，她们，它们,外研社初中
which,wɪtʃ,,pron.哪一个,外研社初中
over,'ovɚ,,prep.在⋯⋯的上方,外研社初中
There,ðɛr,,ad.在那里，往那里,外研社初中
over there,'ovɚ ðɛr,,在那边，在那里,外研社初中
funny,'fʌni,,a.有趣的,外研社初中
call,kɔl,,v.把⋯⋯叫做；称呼⋯⋯为,外研社初中
Africa,ˈæfrɪkə,,非洲,外研社初中
Asia,ˈeɪʒə,,亚洲,外研社初中
Europe,'jʊrəp,,欧洲,外研社初中
little,'lɪtl,,a.极少量的,外研社初中
a little,,,少量,外研社初中
only,onlɪ,,ad.仅仅；只,外研社初中
About,ə'baʊt,,ad.大约，大致,外研社初中
kilo (= kilogram),,,n.千克；公斤,外研社初中
as well as,,,并且，还,外研社初中
people,'pipl,,n.人，人们,外研社初中
all over the world,,,全世界,外研社初中
African,'æfrɪkən,,a.非洲的 n.非洲人,外研社初中
leaf,lif,,n.叶子 (pl. leaves),外研社初中
grass,ɡræs,,n.草,外研社初中
large,lɑrdʒ,,a.大的，巨大的,外研社初中
usually,juʒəlɪ,,ad.通常,外研社初中
alone,ə'lon,,ad.独自地,外研社初中
be good at,,,擅长,外研社初中
strong,strɔŋ,,a.强壮的；强大的；强烈的,外研社初中
catch,kætʃ,,v.抓住；接住,外研社初中
many kinds of,,,许多种类,外研社初中
even,'ivən,,ad.甚至,外研社初中
keyboard,'ki'bɔrd,,n.键盘,外研社初中
mouse,maʊs,,n.鼠标；老鼠 (pl. mice),外研社初中
screen,skrin,,n.屏幕,外研社初中
connect,kə'nɛkt,,v.连接,外研社初中
turn,tɝn,,v.转动,外研社初中
turn on,tɝ​n ɑn,,打开,外研社初中
learn,lɝn,,v.学；学习,外研社初中
document,dɑkjəmənt,,n.文件,外研社初中
click,klɪk,,v.点击,外研社初中
use,juz,,v.使用,外研社初中
save,sev,,v.保存；储存,外研社初中
box,bɑks,,n.（计算机屏幕上的）框；盒子,外研社初中
finally,'faɪnlɪ,,ad.最后,外研社初中
print,prɪnt,,v.打印,外研社初中
paper,'pepɚ,,n.纸,外研社初中
share,ʃɛr,,v.共用；分享,外研社初中
Australia,ɔ'streljə,,澳大利亚,外研社初中
company,'kʌmpəni,,n.公司；剧团,外研社初中
often,ˈɔ:fn; ɔfən,,ad.经常,外研社初中
customer,'kʌstəmɚ,,n.顾客,外研社初中
Internet,'ɪntɚnɛt,,n.因特网,外研社初中
check,tʃɛk,,v.检查；查看,外研社初中
train,tren,,n.火车,外研社初中
travel,'trævl,,n.旅行,外研社初中
plan,plæn,,n.计划 v.计划；打算,外研社初中
ticket,'tɪkɪt,,n.票,外研社初中
music,'mjuzɪk,,n.音乐,外研社初中
movie,'muvi,,n.电影,外研社初中
night,naɪt,,n.夜晚,外研社初中
search,sɝtʃ,,v.搜寻；搜索；查找,外研社初中
search for,,,搜寻；查找,外研社初中
information,'ɪnfɚ'meʃən,,n.信息,外研社初中
email,'imel,,n.电子邮件,外研社初中
send,sɛnd,,v.发送,外研社初中
game,ɡem,,n.游戏,外研社初中
sometimes,'sʌmtaɪmz,,ad.有时候；不时,外研社初中
cinema,'sɪnəmə,,n.电影院,外研社初中
clothes,kloz,,n.衣服（总称）,外研社初中
visit,'vɪzɪt,,v.探望；参观,外研社初中
holiday,'hɑləde,,n.假日；节日,外研社初中
card,kɑrd,,n.卡片,外研社初中
party,'pɑrti,,n.晚会；聚会,外研社初中
present,prɪˈzɛnt;(for n.)ˈprɛznt,,n.礼物,外研社初中
would,wʊd; wəd,,v aux.肯，会；愿意,外研社初中
always,'ɔlwez,,ad.总是；一直,外研社初中
great,ɡret,,a.太好了；巨大的；超乎寻常的,外研社初中
cake,kek,,n.蛋糕,外研社初中
never,'nɛvɚ,,ad.从不,外研社初中
