word,phonetic,pos,definition,source
souvenir,",suvə'nɪr",,n.纪念品；礼物 vt.把…留作纪念,SAT
recumbent,rɪ'kʌmbənt,,a.斜倚的；休息的,SAT
neural,'nʊrəl,,a.神经的；神经系统的；背的；神经中枢的 n.(Neural)人名；(捷)诺伊拉尔,SAT
amateur,ˈæmətər,,n.爱好者；业余爱好者；外行 a.业余的；外行的,SAT
sealant,'silənt,,n.[机] 密封剂,SAT
subside,səb'saɪd,,v.平息；减弱；沉淀；坐下,SAT
haste,hest,,n.匆忙；急忙；轻率 vi.匆忙；赶紧 vt.赶快,SAT
numeration,",njʊmə'reʃən",,n.计算；数字的读法；[数] 命数法；编号,SAT
depraved,dɪ'prevd,,a.堕落的；腐化的；卑鄙的 v.使腐化（deprave的过去式和过去分词）,SAT
zeal,zil,,n.热情；热心；热诚,SAT
preamble,'priæmbl,,n.序文；电报报头；先兆 v.作序文,SAT
testimonial,",tɛstɪ'monɪəl",,n.证明书；推荐书 a.证明的；褒奖的；表扬的,SAT
upturn,'ʌptɝn,,n.情况好转 vt.使……转朝上；翻转 vi.向上,SAT
alight,ə'laɪt,,v.下来；飞落 a.烧着的；点亮着的,SAT
indiscriminate,",ɪndɪ'skrɪmɪnət",,a.任意的；无差别的；不分皂白的,SAT
rationality,",ræʃən'æləti",,n.合理性；合理的行动,SAT
sterling,'stɝlɪŋ,,a.纯正的；英币的；纯银制的 n.英国货币；标准纯银,SAT
element,'ɛləmənt,,n.元素；要素；原理；成分；自然环境,SAT
obstinate,'ɑbstɪnət,,a.顽固的；倔强的；难以控制的,SAT
writhe,raið,,v.翻滚；蠕动 n.翻滚；扭动；苦恼,SAT
embody,ɪm'bɑdi,,v.体现，使具体化；具体表达 n.(Embody)人名；(英)恩博迪,SAT
ascetic,ə'sɛtɪk,,a.苦行的；禁欲主义的 n.苦行者；禁欲者,SAT
equilibrium,",ikwɪ'lɪbrɪəm",,n.均衡；平静；保持平衡的能力,SAT
dominant,'dɑmɪnənt,,a.显性的；占优势的；支配的，统治的 n.显性,SAT
rob,rɑb,,v.抢劫；使…丧失；非法剥夺,SAT
recant,ri'kænt,,v.宣布放弃；公开认错,SAT
interpreter,ɪn'tɝprɪtɚ,,n.解释者；口译者；注释器,SAT
verification,",vɛrɪfɪ'keʃən",,n.确认，查证；核实,SAT
brusque,brʌsk,,a.唐突的；直率的；无礼的 n.(Brusque)人名；(法)布吕斯克,SAT
dissect,"dɪˈsɛkt, daɪ-, ˈdaɪˌsɛkt",,v.切细；仔细分析,SAT
branch,bræntʃ,,v.分支；出现分歧 n.树枝，分枝；分部；支流,SAT
cathode,'kæθod,,n.阴极（电解）,SAT
turmoil,'tɝmɔɪl,,n.混乱，骚动,SAT
mandate,'mændet,,n.授权；命令，指令；委托管理；受命进行的工作 v.授权；托管,SAT
trivial,'trɪvɪəl,,a.不重要的，琐碎的；琐细的,SAT
lugubrious,lə'gʊbrɪəs,,a.悲哀的，悲惨的,SAT
space,spes,,n.空间；太空；距离 v.留间隔,SAT
rationalism,'ræʃnə'lɪzəm,,n.理性主义；唯理主义,SAT
epitaph,'ɛpɪtæf,,n.碑文，墓志铭,SAT
resilience,rɪˈzɪliəns,,n.恢复力；弹力；顺应力,SAT
cognate,'kɑɡnet,,a.[地质] 同源的；同类的 n.同族；同根词,SAT
winsome,'wɪnsəm,,a.迷人的；可爱的；引人注目的,SAT
appellation,",æpə'leʃən",,n.称呼；名称；名目,SAT
agitation,",ædʒɪ'teʃən",,n.激动；搅动；煽动；烦乱,SAT
unanimity,ˌjunəˈnɪmətɪ,,n.同意，全体一致,SAT
commotion,kə'moʃən,,n.骚动；暴乱,SAT
astute,ə'stut,,a.机敏的；狡猾的，诡计多端的,SAT
pepsin,'pɛpsɪn,,n.胃蛋白酶,SAT
retort,rɪ'tɔrt,,n.反驳，顶嘴；曲颈瓶 v.反驳，反击,SAT
subconscious,",sʌb'kɑnʃəs",,a.潜意识的；下意识的 n.潜在意识；下意识心理活动,SAT
enormous,ɪ'nɔrməs,,a.庞大的，巨大的；凶暴的，极恶的,SAT
foster,'fɔstɚ,,v.培养；养育，抚育；抱（希望等） a.收养的，养育的 n.(Foster)人名；(英、捷、意、葡、法、德、俄、西)福斯特,SAT
ethereal,ɪ'θɪrɪəl,,a.优雅的；轻飘的；缥缈的；超凡的,SAT
irresolute,ɪ'rɛzə'lʊt,,a.优柔寡断的；踌躇不定的；无决断的,SAT
convoke,kən'vok,,v.召集；召集…开会,SAT
codicil,'kɑdəsl,,n.遗嘱的附录,SAT
reserved,rɪ'zɝvd,,a.保留的，预订的；缄默的，冷淡的，高冷的；包租的,SAT
morose,mə'ros,,a.郁闷的；孤僻的,SAT
drowsy,'draʊzi,,a.昏昏欲睡的；沉寂的；催眠的,SAT
gibberish,'dʒɪbərɪʃ,,n.乱语；快速而不清楚的言语,SAT
dogmatist,'dɔɡmətist,,n.教条主义者；独断家；独断论者,SAT
alien,"ˈeliən,ˈeljən",,a.外国的；相异的，性质不同的；不相容的 n.外国人，外侨；外星人 v.让渡，转让,SAT
cartographer,kɑr'tɑɡrəfɚ,,n.制图师；地图制作者,SAT
